ID|CITYID|GRADEID|PARENTID|CITYNAME|CITYCODE
1|01|1|0|北京|
2|0101|2|01|北京|
3|010101|3|0101|北京|101010100
4|010102|3|0101|海淀|101010200
5|010103|3|0101|朝阳|101010300
6|010104|3|0101|顺义|101010400
7|010105|3|0101|怀柔|101010500
8|010106|3|0101|通州|101010600
9|010107|3|0101|昌平|101010700
10|010108|3|0101|延庆|101010800
11|010109|3|0101|丰台|101010900
12|010110|3|0101|石景山|101011000
13|010111|3|0101|大兴|101011100
14|010112|3|0101|房山|101011200
15|010113|3|0101|密云|101011300
16|010114|3|0101|门头沟|101011400
17|010115|3|0101|平谷|101011500
18|02|1|0|上海|
19|0201|2|02|上海|
20|020101|3|0201|上海|101020100
21|020102|3|0201|闵行|101020200
22|020103|3|0201|宝山|101020300
23|020104|3|0201|嘉定|101020500
24|020105|3|0201|浦东南汇|101020600
25|020106|3|0201|金山|101020700
26|020107|3|0201|青浦|101020800
27|020108|3|0201|松江|101020900
28|020109|3|0201|奉贤|101021000
29|020110|3|0201|崇明|101021100
30|020111|3|0201|徐家汇|101021200
31|020112|3|0201|浦东|101021300
32|03|1|0|天津|
33|0301|2|03|天津|
34|030101|3|0301|天津|101030100
35|030102|3|0301|武清|101030200
36|030103|3|0301|宝坻|101030300
37|030104|3|0301|东丽|101030400
38|030105|3|0301|西青|101030500
39|030106|3|0301|北辰|101030600
40|030107|3|0301|宁河|101030700
41|030108|3|0301|汉沽|101030800
42|030109|3|0301|静海|101030900
43|030110|3|0301|津南|101031000
44|030111|3|0301|塘沽|101031100
45|030112|3|0301|大港|101031200
46|030113|3|0301|蓟县|101031400
1|04|1|0|重庆|
2|0401|2|04|重庆|
3|040101|3|0401|重庆|101040100
4|040102|3|0401|永川|101040200
5|040103|3|0401|合川|101040300
6|040104|3|0401|南川|101040400
7|040105|3|0401|江津|101040500
8|040106|3|0401|万盛|101040600
9|040107|3|0401|渝北|101040700
10|040108|3|0401|北碚|101040800
11|040109|3|0401|巴南|101040900
12|040110|3|0401|长寿|101041000
13|040111|3|0401|黔江|101041100
14|040112|3|0401|万州|101041300
15|040113|3|0401|涪陵|101041400
16|040114|3|0401|开县|101041500
17|040115|3|0401|城口|101041600
18|040116|3|0401|云阳|101041700
19|040117|3|0401|巫溪|101041800
20|040118|3|0401|奉节|101041900
21|040119|3|0401|巫山|101042000
22|040120|3|0401|潼南|101042100
23|040121|3|0401|垫江|101042200
24|040122|3|0401|梁平|101042300
25|040123|3|0401|忠县|101042400
26|040124|3|0401|石柱|101042500
27|040125|3|0401|大足|101042600
28|040126|3|0401|荣昌|101042700
29|040127|3|0401|铜梁|101042800
30|040128|3|0401|璧山|101042900
31|040129|3|0401|丰都|101043000
32|040130|3|0401|武隆|101043100
33|040131|3|0401|彭水|101043200
34|040132|3|0401|綦江|101043300
35|040133|3|0401|酉阳|101043400
36|040134|3|0401|秀山|101043600
1|05|1|0|黑龙江|
2|0501|2|05|哈尔滨|
3|050101|3|0501|哈尔滨|101050101
4|050102|3|0501|双城|101050102
5|050103|3|0501|呼兰|101050103
6|050104|3|0501|阿城|101050104
7|050105|3|0501|宾县|101050105
8|050106|3|0501|依兰|101050106
9|050107|3|0501|巴彦|101050107
10|050108|3|0501|通河|101050108
11|050109|3|0501|方正|101050109
12|050110|3|0501|延寿|101050110
13|050111|3|0501|尚志|101050111
14|050112|3|0501|五常|101050112
15|050113|3|0501|木兰|101050113
16|0502|2|05|齐齐哈尔|
17|050201|3|0502|齐齐哈尔|101050201
18|050202|3|0502|讷河|101050202
19|050203|3|0502|龙江|101050203
20|050204|3|0502|甘南|101050204
21|050205|3|0502|富裕|101050205
22|050206|3|0502|依安|101050206
23|050207|3|0502|拜泉|101050207
24|050208|3|0502|克山|101050208
25|050209|3|0502|克东|101050209
26|050210|3|0502|泰来|101050210
27|0503|2|05|牡丹江|
28|050301|3|0503|牡丹江|101050301
29|050302|3|0503|海林|101050302
30|050303|3|0503|穆棱|101050303
31|050304|3|0503|林口|101050304
32|050305|3|0503|绥芬河|101050305
33|050306|3|0503|宁安|101050306
34|050307|3|0503|东宁|101050307
35|0504|2|05|佳木斯|
36|050401|3|0504|佳木斯|101050401
37|050402|3|0504|汤原|101050402
38|050403|3|0504|抚远|101050403
39|050404|3|0504|桦川|101050404
40|050405|3|0504|桦南|101050405
41|050406|3|0504|同江|101050406
42|050407|3|0504|富锦|101050407
43|0505|2|05|绥化|
44|050501|3|0505|绥化|101050501
45|050502|3|0505|肇东|101050502
46|050503|3|0505|安达|101050503
47|050504|3|0505|海伦|101050504
48|050505|3|0505|明水|101050505
